3; 0; 1249
4; 2; 2498
14; 16; 3747
16; 72; 4996
22; 207; 6245
27; 482; 7494
37; 963; 8743
42; 1618; 9992
48; 2468; 11241
52; 3457; 12490
60; 4530; 13739
64; 5685; 14988
72; 6884; 16237
76; 8114; 17486
81; 9346; 18735
88; 10588; 19984
96; 11834; 21233
100; 13082; 22482
106; 14331; 23731
112; 15580; 24980
122; 16829; 26229
124; 18078; 27478
126; 19327; 28727
130; 20576; 29976
137; 21825; 31225
